document_id,file_path,risk_score,dei_keywords,proxy_keywords,binding_keywords,applicability_tags,text_length
74c6bb8d3aa480a95207e0085fc1c4c0,research_results/documents/parsed/74c6bb8d3aa480a95207e0085fc1c4c0.txt,3,inclusion; equity; underserved; dei; diversity; underrepresented,bipoc,agreement; shall; statewide; mandatory; standard; contract; must; policy; required,hiring; procurement; training; housing,59426
e074d302eac8c1251ce84c7611f87a01,research_results/documents/parsed/e074d302eac8c1251ce84c7611f87a01.txt,3,inclusion; equity; underserved; dei; diversity; underrepresented,safe space; bipoc,agreement; statewide; applicability; standard; contract; must; policy; required,hiring; procurement; training; housing,108807
2cb743c45485324adc632bb0642bc614,research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt,3,inclusion; equity; underserved; dei; diversity; underrepresented,lived experience; equity plan,agreement; shall; statewide; mandatory; standard; contract; must; policy; required,hiring; procurement; training; housing,141010
07a1076fa131f26b2cdcc68681afddbb,research_results/documents/parsed/07a1076fa131f26b2cdcc68681afddbb.txt,3,inclusion; equity; underserved; dei; diversity; underrepresented,safe space; equity plan,shall; statewide; mandatory; contract; must; policy,hiring; procurement; training; housing,49914
544d76b9a259616a1c691b4f98098735,research_results/documents/parsed/544d76b9a259616a1c691b4f98098735.txt,3,inclusion; equity; underserved; dei; diversity; underrepresented,safe space; equity plan,shall; statewide; mandatory; contract; must; policy,hiring; procurement; training; housing,49914
6431de02c3af80fab467e7aebdc1d17c,research_results/documents/parsed/6431de02c3af80fab467e7aebdc1d17c.txt,3,inclusion; equity; dei; diversity; underserved,bipoc,agreement; shall; statewide; standard; contract; must; policy; required,hiring; procurement; training; housing,76622
a2f08c4c1146471bbf56e2808875d0b6,research_results/documents/parsed/a2f08c4c1146471bbf56e2808875d0b6.txt,3,inclusion; equity; underserved; dei; diversity; underrepresented,lived experience; bipoc,agreement; shall; statewide; standard; contract; must; policy; required,hiring; procurement; training; housing,147683
bbfc77a24628ff8e29dd977ba4c66095,research_results/documents/parsed/bbfc77a24628ff8e29dd977ba4c66095.txt,3,inclusion; equity; underserved; dei; diversity; underrepresented,bipoc,agreement; statewide; standard; contract; must; policy; required,hiring; procurement; training; housing,69963
f05cefc6c4eb4225c881409d8daadc29,research_results/documents/parsed/f05cefc6c4eb4225c881409d8daadc29.txt,3,inclusion; equity; dei; diversity; underserved,bipoc,agreement; shall; statewide; standard; contract; policy; required,hiring; procurement; training; housing,85456
0a3c2fb7aaa8fce1b2fcc321ae18e5b9,research_results/documents/parsed/0a3c2fb7aaa8fce1b2fcc321ae18e5b9.txt,3,inclusion; equity; dei; diversity; underserved,cultural competence; lived experience,shall; statewide; standard; contract; must; policy; required,hiring; procurement; training; housing,31368
b3b027941a48b0372a0fe52293173996,research_results/documents/parsed/b3b027941a48b0372a0fe52293173996.txt,3,inclusion; equity; underserved; dei; diversity; underrepresented,safe space; bipoc,agreement; statewide; applicability; standard; contract; must; policy; required,hiring; procurement; training; housing,186852
ffb8b3c67a74866bc9b85c48b68e4bf0,research_results/documents/parsed/ffb8b3c67a74866bc9b85c48b68e4bf0.txt,3,inclusion; diversity; equity,equity plan,must; policy; required,,8057
4260e59b296ab49cb9ae241fbba37c68,research_results/documents/parsed/4260e59b296ab49cb9ae241fbba37c68.txt,3,inclusion; equity; dei; diversity; underrepresented,cultural competence,agreement; shall; statewide; contract; policy; required,hiring; procurement; training; housing,38034
1d20c2a61ee7a30f077fe8e8eeba2667,research_results/documents/parsed/1d20c2a61ee7a30f077fe8e8eeba2667.txt,3,inclusion; equity; deib; dei; diversity; underrepresented,lived experience; bipoc,must; agreement; policy,hiring; training; housing,18877
592594abd4eb6a8bad89ce62855bb42e,research_results/documents/parsed/592594abd4eb6a8bad89ce62855bb42e.txt,2,inclusion; equity; dei; diversity; underserved,,applicability; standard; contract; must; required,hiring; procurement; housing,21859
bf83699c0a4f2001dd2920dd6d60b502,research_results/documents/parsed/bf83699c0a4f2001dd2920dd6d60b502.txt,2,equity,,policy,training,5202
645b1f978c1291384280119d20b07e77,research_results/documents/parsed/645b1f978c1291384280119d20b07e77.txt,2,inclusion; equity; dei; diversity; underrepresented,,agreement; shall; statewide; mandatory; standard; contract; must; policy; required,hiring; procurement; training; housing,67969
39aacc6287ece4d98183827562496c5e,research_results/documents/parsed/39aacc6287ece4d98183827562496c5e.txt,2,inclusion; dei; diversity; equity,,shall; mandatory; statewide; contract,procurement; housing,13084
f17c22e859e2c48b5a346d23fc10a3c0,research_results/documents/parsed/f17c22e859e2c48b5a346d23fc10a3c0.txt,2,underserved; inclusion; diversity; equity,,must; policy; statewide; standard,hiring; housing,15914
0605239e9e394ac73f36ee2d115a566f,research_results/documents/parsed/0605239e9e394ac73f36ee2d115a566f.txt,2,inclusion; dei; diversity; equity,,shall; statewide; standard; must; required,hiring; training; housing,11831
07815e32e695fa0202bb1b593746c401,research_results/documents/parsed/07815e32e695fa0202bb1b593746c401.txt,2,equity,,policy; required,hiring; procurement; training; housing,10560
24cbe0113967a4f6725bb7683d5ad024,research_results/documents/parsed/24cbe0113967a4f6725bb7683d5ad024.txt,2,equity,,policy,,913
e1ab2e335f7e813fd3cfbd5c10ab62b6,research_results/documents/parsed/e1ab2e335f7e813fd3cfbd5c10ab62b6.txt,2,diversity; equity,,policy,hiring; training; housing,17516
c03fa557fce41394cb3254c013c5736b,research_results/documents/parsed/c03fa557fce41394cb3254c013c5736b.txt,2,equity,,policy,,913
ffb8613e7bb63a09a1349a4f4cd7e90b,research_results/documents/parsed/ffb8613e7bb63a09a1349a4f4cd7e90b.txt,2,inclusion; equity; underserved; dei; diversity; underrepresented,,must; policy; standard; required,training; housing,22565
57a271a61cfdda6b8b76a264c5c1a897,research_results/documents/parsed/57a271a61cfdda6b8b76a264c5c1a897.txt,2,inclusion; equity; underserved; dei; diversity; underrepresented,,agreement; shall; statewide; ordinance; applicable to; standard; contract; must; policy; required,hiring; procurement; training; housing,114632
6edb45aeefba069c869f50585373f1c6,research_results/documents/parsed/6edb45aeefba069c869f50585373f1c6.txt,2,equity,,policy,procurement; training; housing,5019
c441d095b5efadcac83eadd5ad604240,research_results/documents/parsed/c441d095b5efadcac83eadd5ad604240.txt,2,inclusion; diversity; equity,,statewide; standard; contract; must; policy,hiring; procurement; training; housing,53834
0e1e03d72717fb6325339c86021d7ea8,research_results/documents/parsed/0e1e03d72717fb6325339c86021d7ea8.txt,2,equity,,policy,housing,4359
6e6c69b294212c64d1c617f261e70841,research_results/documents/parsed/6e6c69b294212c64d1c617f261e70841.txt,2,inclusion; equity; underserved; dei; diversity; underrepresented,,must; policy,hiring; procurement; training; housing,36369
a190e1e7829daedea88c07cffb922811,research_results/documents/parsed/a190e1e7829daedea88c07cffb922811.txt,2,equity,,must; policy; applicable to,hiring; training; housing,10278
